"","x"
"510",1.9982944115046e-05
"511",1.18417882002171e-05
"512",5.23092075381872e-06
"513",2.96126006435176e-08
"514",0.000121642207544122
"515",1.69227868956272e-05
"516",2.35555484093767e-06
"517",9.93502296905879e-08
"518",5.93051617006722e-09
"519",9.79928904268688e-06
"520",2.10906748734193e-06
"521",1.5762414592727e-06
"522",1.02769927489993e-05
"523",3.93594041987873e-05
"524",5.19215415310164e-06
"525",8.84660536162136e-07
"526",3.29407702969835e-06
"527",2.33862067766764e-07
"528",3.27789987489223e-06
"529",3.77869023923712e-06
"530",1.12184953178056e-05
"531",6.49178619847373e-05
"532",4.03781106982245e-06
"533",7.41760691319054e-06
"534",9.48791642858073e-07
"535",7.60854179915587e-08
"536",1.65779463042277e-05
"537",6.86218865063878e-06
"538",5.23242206968813e-07
"539",6.52163386948132e-06
"540",1.15562044727228e-05
"541",1.21631154965967e-07
"542",1.65370551095827e-07
"543",9.54523782601085e-07
"544",7.58543887424917e-06
"545",1.755547682841e-07
"546",5.82479806332023e-06
"547",2.86954285158946e-07
"548",4.55013478444164e-05
"549",7.83281671711298e-07
"550",4.20547738229499e-06
"551",1.97524480368335e-06
"552",3.21944789697459e-06
"553",9.17351017329886e-06
"554",4.36657403335594e-06
"555",1.99826565455552e-05
"556",1.30913556149259e-05
"557",9.91502954777139e-06
"558",7.62968231441995e-06
"559",6.42081330043341e-07
"560",2.62397587469444e-07
"561",1.1381716302359e-06
"562",1.20737821772345e-06
"563",1.39218788822438e-06
"564",2.0243143827996e-07
"565",3.3073199061725e-06
"566",1.82771142375817e-10
"567",7.47615230660228e-10
"568",1.19482283856093e-07
"569",3.54577718885075e-07
"570",5.41509020769601e-07
"571",4.4145399801904e-06
"572",7.88907278816534e-06
"573",2.51088073438228e-08
"574",1.33667985054923e-09
"575",8.48869017753378e-08
"576",2.48845521940117e-05
"577",1.05731258853049e-08
"578",1.61507084403275e-07
"579",1.24258201320326e-05
"580",5.24235534494399e-06
"581",1.31023729190514e-05
"582",3.20484729343314e-06
"583",5.26915722418677e-07
"584",6.76016939272127e-08
"585",2.59836470830225e-07
"586",1.15610447825972e-05
"587",1.15665110417183e-05
"588",5.10301798910913e-05
"589",3.46976925331187e-08
"590",1.64482823866498e-07
"591",3.17935280503439e-07
"592",4.83112444929429e-06
"593",5.28634527850909e-07
"594",3.30438089775491e-07
"595",4.5492990821503e-06
"596",4.83918015287633e-07
"597",3.29165445108468e-08
"598",1.82691694221546e-05
"599",4.52835634353776e-07
"600",1.56119550584906e-05
"601",7.62805210294483e-08
"602",5.81916744501902e-07
"603",3.60763526079212e-07
"604",2.12113996316398e-05
"605",8.47492644569612e-05
"606",1.00235105476787e-08
"607",6.39388857802112e-07
"608",2.14652836467797e-05
"609",3.51673977799439e-08
"610",4.65841364291652e-07
"611",3.49476303058098e-05
"612",1.15080557673927e-05
"613",4.9191729029187e-05
"614",1.52477899621979e-06
"615",4.70073334945476e-05
"616",3.82689153468303e-07
"617",1.04238792252125e-06
"618",5.13671979239341e-06
"619",8.42250956036598e-07
"620",1.52174403011181e-05
"621",1.04619331596175e-06
"622",5.15865259759884e-06
"623",9.32245033728717e-07
"624",1.09842471073717e-06
"625",1.91738440906512e-06
"626",4.19032783794243e-05
"627",9.43374063858568e-07
"628",1.2091184556341e-06
"629",7.23614302096118e-06
"630",2.19741055805991e-08
"631",1.90488474524818e-05
"632",1.13541558112046e-07
"633",1.4591551182636e-05
"634",2.94294431911423e-05
"635",2.08448302894055e-05
"636",0.000198761924373003
"637",3.06165995969265e-05
"638",9.43261904645128e-06
"639",6.73006622221964e-07
"640",1.522801889545e-06
"641",7.80406105231422e-07
"642",8.61197645525773e-08
"643",8.5941712392252e-05
"644",1.38762264718577e-05
"645",3.26920607814614e-06
"646",7.89715685169943e-07
"647",5.86912465017169e-06
"648",1.15693612815538e-06
"649",4.40842003237536e-06
"650",3.06756792609324e-06
"651",2.26370431137774e-05
"652",1.17794465858457e-06
"653",9.39064584902156e-07
"654",8.00461728353134e-07
"655",2.5817496531555e-07
"656",1.25705085814656e-05
"657",5.32712177499372e-08
"658",3.71605654500363e-05
"659",2.62309471107668e-06
"660",2.42197876963258e-09
"661",8.08035253888134e-07
"662",6.39028127777978e-06
"663",1.01564785341562e-07
"664",6.28578222186196e-06
"665",5.01721679606218e-05
"666",1.42175593132662e-06
"667",7.63437909646158e-07
"668",3.68584488340911e-06
"669",9.51177383950399e-06
"670",3.03051122401917e-05
"671",1.04588638682824e-05
"672",2.69583675473405e-07
"673",4.53586111529279e-06
"674",1.4750071557148e-05
"675",2.45556619144284e-09
"676",5.40676887537864e-06
"677",1.17911541052314e-05
"678",1.78087625814339e-05
"679",8.48700282192417e-07
"680",2.53371984033763e-07
"681",7.043292490199e-06
"682",5.33425510941599e-08
"683",2.16755345054113e-07
"684",6.48308881871908e-07
"685",3.68558159599029e-07
"686",1.40168224605111e-05
"687",1.62914697329716e-06
"688",2.35480558377444e-05
